Class,Text
2,please put institute circular today vasvik award prof shevgaonkar please announcement put institute circular today prof charusita chakravarty dept chemistry prof sukumar mishra dept electrical engineering elected fellow national academy science india nasi allahabad prof santosh kapuria dept applied mechanic elected fellow indian national science academy insa dr kushal shah dept electrical engineering selected inae young engineer award ranjan dr ranjan mallik fnae fna fnasc fasc fieee fiet fiete fiei brigadier bhopinder singh chair professor idrc research chair wireless communication department electrical engineering indian institute technology delhi hauz khas new delhi india tel mobile fax original message subject vasvik award date faculty matter great pleasure vasvik apex committee approved name prof shiban koul professor dd winner vasvik award category information communication technology detail pl visit following link manchanda
2,important circular faculty faculty please visit following link nomination sent ar planning manchanda
2,announcement short term course please find attached call participation short term course embedded system design conducted iit kharagpur video lecture mode kindly give wide publicity santanu chattopadhyay dr santanu chattopadhyay professor dept electronics electrical comm engg indian institute technology kharagpur west bengal india phone fax
2,search eminent scientist technology trhe position desired dean faculty please visit link detail go internal web faculty opening external manchanda
2,ukieri ugc thematic award ugc sankalpa hearty congratulation getting awarded prestigious ukieri award tough competition since reviewed several ukieri project proposal call past also got informed yesterday ukieri board via email keep keep iitd flag flying taking liberty sharing good news professional success copying email colleague department best wish ever bishnu pal prof pal appeared website well best sankalpa original message subject ukieri ugc thematic award ugc date pareek suruchi british council cc sinha lakshyata british council writing regarding outcome application ugc ukieri thematic partnership innovation partnership strand ukieri apology delay making announcement delayed due extensive evaluation process extremely happy inform application successful part evaluation process sought external assessor review comment proposal ukieri project guideline evaluation criterion evaluation recommendation endorsed ukieri project board agreeing final list therefore tough process gone exhaustive professional manner list final awarded proposal soon uploaded ukieri website www ukieri org initiating process contracting fund disbursement uk institution aiming complete contracting disbursement process end would appreciate support cooperation regard please note fund would processed successful signing contract indian institution would receiving document related award university grant commission therefore requested contact ugc official next week colleague lakshyata sinha would sending award notification letter along draft contract clause consent vendor creation form purpose disbursement fund also requested quote reference number future correspondence related award congratulation ukieri team thanks suruchi suruchi pareek project manager research uk india education research initiative british council division british high commission kasturba gandhi marg new delhi india opportunity people worldwide www britishcouncil org connect u facebook twitter wordpress british council united kingdom international organisation cultural relation educational opportunity registered charity england wale sc037733 scotland create international opportunity people uk country build trust worldwide message use intended recipient received message error please notify sender delete british council accepts liability loss damage caused software virus advised carry virus check attachment contained message bishnu pal professor physic indian institute technology delhi hauz khas new delhi india tel department secretary fax home page
2,dm iitd ranked india stanford survey recent survey research done social science gsb stanford university dm iit delhi ranked second iim bangalore though iim bangalore publicised like always reticent none le something proud felt like sharing sincerely hope support guidance continue strive greater height kanika dr kanika bhal modi chair professor department management study vishwakarma bhawan indian institute technology hauz khas new delhi india ph
2,prize nomination award faculty please visit following link nomination sent ar planning manchanda
2,hcsa newsletter alumnus please find attached latest release hcsa newsletter summarizes latest news event hcsa heidelberg alumnus india hain heidelberg university look upcoming hcsa event enjoy reading suboor bakht deputy director heidelberg center south asia jor bagh new delhi ph fax web www hcsa uni heidelberg de end forwarded message suboor bakht deputy director heidelberg center south asia jor bagh new delhi ph fax web www hcsa uni heidelberg de
2,insa medal young scientist office dean faculty dr rajendra dhaka assistant professor department physic selected insa medal young scientist congratulation detail enclosed
2,vacancy post director isi indian statistical desired dean faculty letter received indian statistical institute post director isi information detail pl visit following link manchanda supdt
2,faculty circular faculty manchanda
2,circulation faculty m manchanda directed mr basak send attachment faculty institute email grateful neelam basak dy registrar
2,bit plani faculty please visit following link nomination sent ar planning manchanda
2,clean india exhibition conference hyderabad letter received clean india organizing exhibition conference hyderabad information necessary action pl detail pl visit following link manchanda
2,post vice chancellor national aviation university mail received ministry civil aviation post vice chancellor national aviation university fursatganj rae bareli information necessary action pl detail pl visit following link manchanda
2,bit plani circular wrote faculty please visit following link nomination sent ar planning manchanda
2,faculty development programme bhopal desired dean faculty letter received entrepreneurship development institute india attached herewith information pl manchanda supdt
2,faculty circular office dean faculty desired dean faculty letter received delhi technological university regarding faculty position information detail pl visit following link manchanda supdt
2,hcsa newsletter alumnus please find attached latest release hcsa newsletter summarizes news event hcsa heidelberg alumnus india hain heidelberg university look upcoming hcsa event enjoy reading suboor bakht deputy director heidelberg center south asia jor bagh new delhi ph fax web www hcsa uni heidelberg de
2,national institute disaster management faculty please visit following link manchanda
2,volunteer request iit pavilion india u technology original message subject volunteer request iit pavilion india u technology summit knowledgepxo date director iits professor sub iit pavilion india u technology summit knowledgepxo volunteer requested desired organiser said expo confederation indian industry m shalini higher education cii forwarding message appended hereunder requesting volunteer perusal necessary action please kind arumugam dr arumugam technical officer dean office iit bombay powai mumbai cii message start please note cii extends warm welcome faculty member final year student third year student iits attend india u technology summit knowledgexpo 22nd india expo centre greater noida restriction number faculty student institute send expo full five day cost travel expense borne delegate cii facilitate stay best possible rate confirm participation five day volunteer also required every institute man booth least two volunteer excellent writing communication skill required institute prepare detailed report interaction take place booth overall write iit pavilion help required two senior faculty member volunteer required send name certificate participation given volunteer excellent opportunity faculty student interact industry get exposure latest science technology high level industry innovation delegation u uk canada slovenia spain japan israel germany advised make use opportunity participate per convenience brochure india u technology summit knowledgexpo attached reference shalini shalini higher education confederation indian industry 3rd floor ig building institutional area lodi road new delhi phone ext fax mobile www cii uic www knowledgexpo com www primeministerfellowshipscheme com message end original message subject iit pavilion india u technology summit knowledgepxo date prof arumugam request one help please following communication sent iits please note cii extends warm welcome faculty member final year student third year student iits attend india u technology summit knowledgexpo 22nd india expo centre greater noida restriction number faculty student institute send expo full five day cost travel expense borne delegate cii facilitate stay best possible rate confirm participation five day volunteer also required every institute man booth least two volunteer excellent writing communication skill required institute prepare detailed report interaction take place booth overall write iit pavilion help required two senior faculty member volunteer required send name certificate participation given volunteer excellent opportunity faculty student interact industry get exposure latest science technology high level industry innovation delegation u uk canada slovenia spain japan israel germany advised make use opportunity participate per convenience brochure india u technology summit knowledgexpo attached reference shalini shalini higher education confederation indian industry 3rd floor ig building institutional area lodi road new delhi phone ext fax mobile www cii uic www knowledgexpo com www primeministerfellowshipscheme com
2,call participation imprint india advanced material team building forwarded message date subject call participation imprint india advanced material team building institute coordinator know mhrd imprint india impacting research innovation technology india initiative entrusted iits iisc identify need country term research technology requirement enable proper planning manpower research infrastructure resource ten domain national interest outcome exercise would policy document education research detail kindly refer deliberation first imprint workshop attached email iit kanpur designated nodal institute two ten domain namely water resource river science advanced material coordinating advanced material theme iit kanpur would like request participation faculty colleague institute theme since scope theme broad decided divide several sub theme sub theme coordinator get input related sub theme iits iisc attaching partial list sub theme suggestion sub theme report format stage requesting following input suggest additional sub theme sub theme coordinate input iits iisc general suggestion data source data collection coordination suggestion report format sub theme would like reach colleague engaged material related research development best theme coordinator prof kushal sen department textile technology indian institute technology delhi new delhi india ph re fax
2,inae aicte distinguished industry professor scheme subject inae aicte distinguished industry professor scheme please see link subject manchanda
2,call nomination holberg prize faculty please visit following link nomination send ar planning manchanda
2,fellowship announcement germany original message subject fellowship announcement germany date thanks best wish bala wir selbst ssen die ver nderung sein die wir un nschen mahathma gandhi must change wish see mahathma gandhi www ia hannover de www facebook com ia hannover
2,circular faculty faculty member please visit following link dean faculty
2,seminar prof long lin please note k forwarded message date subject seminar prof long lin cc colleague prof long lin professor colour polymer science department colour science director dp centre industrial collaboration director colour textile science university leeds also editor chief pigment resin technology international journal colorants polymer colour application editor chief china coating journal visiting department give talk high value added application colour polymer science committee room also expressed willingness discus explore potential collaboration department department colour science university leeds faculty member requested make convenient attend meeting prof long lin lecture committee room behera
2,national board accreditation participation iit delhi please visit link information go internal web faculty opportunity external manchanda
2,entry invited businessworld empi indian innovation award please kindly follow link information go internal web faculty opportunity external manchanda
2,member convenor organizing committee celebrating please find notification subject member convenor organizing committee celebrating birth anniversary dr ambedkar please click linked signed circular notification bhaskar assistant registrar s coordination section
2,prof charusita chakravarty prof sukumar mishra elected circulation original message subject prof charusita chakravarty prof sukumar mishra elected fellow nasi date original message subject prof charusita chakravarty prof sukumar mishra elected fellow nasi date colleague glad know prof charusita chakravarty department chemistry prof sukumar mishra department electrical engineering elected fellow national academy science india nasi allahabad congratulation charu sukumar ranjan
2,guideline criterion different faculty position regular guideline criterion different faculty position regular advertisement follows please visit following link dean faculty
2,appointment chairman vice chairman jee advanced reg please find enclosed herewith scanned copy notification iitd icon dated regarding notifying appointment chairman vice chairman jee advanced immediate effect chauhan act registrar
2,appointment vice president brca chairman time table please find enclosed herewith scanned copy office memorandum dated regarding appointment dr samrat mukhopadhyay deptt tech vice president brca dr prakash deptt physic chairman time table committee ug pg period one year upto dr rakesh kumar registrar
2,council science technology science award 14 desired dean faculty letter received council science technology science award information detail pl visit following link desired dean faculty mail received ministry science technology israel eric sheila samson prime minister prize information detail pl visit following link manchanda supdt
2,faculty circular faculty please visit following link last link nomination sent ar plg manchanda
2,imprint essay competition colleague please check following url developed submission entry essay competition go public tomorrow please let u know feedback best singh
2,nomination post director niot chennai letter received niot inviting nomination post director niot chennai information necessary action pl detail pl visit following link letter received mhrd inviting nomination training course preservation restoration cultural heritage asia specific region information necessary action pl detail pl visit following link manchanda
2,reflection nobel prize inadvertent error crept list nobel prize winner physic announcement poster already put name santa barbara added extra fact one winner shuji nakamura belongs uc santa barbara error regretted anurag sharma dean academic indian institute technology delhi invite reflection nobel prize time date venue seminar hall cordially invited programme detail physiology medicine john keefe britt edvard moser speaker prof doreswamy national brain research centre manesar physic shuji nakamura santa barbara isamu akasaki hiroshi amano speaker prof shenoy dept physic iitd chemistry stefan hell william moerner eric betzig speaker prof pramit choudhury dept chemistry iitd economics jean tirole speaker dr parikshit ghosh delhi school economics literature patrick modiano speaker prof vijayalakshmi rao centre french francophone study school language literature cultural study jnu peace kailash satyarthi malala yousafzai speaker tba
2,inae mhrd nae symposium engineering education domain leader institute representative please find enclosed final program inae mhrd nae symposium engineering education century held seminar hall india international center lodi road new delhi behalf prof manna national coordinator imprint pleasure invite participate symposium best singh
2,schedule external peer review original message subject schedule external peer review date colleague please find attached le final schedule review committee visit please note presentation individual department hod however hod present session first day thanks rks prof shevgaonkar fieee fnasc fnae fiete fie director indian institute technology delhi ex vice chancellor university pune ph
2,foundation day programme foundation day lecture reminder programme foundation day function follows venue seminar hall time date welcome address director presentation teaching excellence award foundation day lecture prof pratap bhanu mehta director centre policy research new delhi detail would announced separately followed high tea invited function anurag sharma dean academic
2,prof ganguli receives award behalf department pleasure congratulate colleague professor ashok ganguli receiving national award nano science technology function held sastra university thanjavur ramanan hemant pl place news website thanks
2,information enchancing cultural cooperation exchange faculty member please visit following link dean faculty
2,biju patnayak award scientific excellence samanta chandra faculty desired dean faculty letter received odisha abhiyan academy biju patnayak award scientific excellence samanta chandra sekar award odisha young scientist award year information detail pl visit following link manchanda supdt
2,constitution awareness committee gender issue forwarded message date subject constitution awareness committee gender issue faculty institute staff please find notification subject constitution awareness committee gender issue kind information employee institute signed copy circular notification please click linked file circular iitd icdn pdf bhaskar assistant registrar s coordination section iit delhi
2,prof chandra math prof kshitij gupta prof kushal sen thought share achiements thougt much work known respected highter authority well best chandra dr chandra professor department math
2,nomination award astronomical society india desired dean faculty letter received astronomical society india attached herewith information necessary action kindly send nomination plg nomination committee latest manchanda supdt
2,daad iit faculty exchange programme please find attached kindly circulate faculty deptt centre chauhan joint registrar indian institute technology delhi hauz khas new delhi india tel
2,nomination national productivity council workshop letter received pant university agriculture technology inviting nomination different position information necessary action pl detail pl visit following link letter received national productivity council inviting nomination attend workshop measurement productivity public sector information necessary action pl detail pl visit following link manchanda
2,external peer review committiee meeting staff urgent circular external peer review committee visiting iit delhi request iit employee union institute agreed employee institute give view suggestion review committee meeting scheduled seminar hall onwards department centre section unit requested circulate information concerned allow staff member join said meeting time unit leader respective department centre section unit also requested communicate abovesaid information staff member earliest please visit following link anil sharma general secretary enclosed notice deptt section centre unit etc information director dy director operation registrar head deptt section unit centre request disseminate information concerned
2,draft webpage announce essay competition colleague website imprint india initiative construction sharing url quick feedback url also please find enclosed draft announcement essay competition planning request input let u discus today evening best singh
2,bose fellowship award prof maithili sharan ca faculty matter great pleasure prof maithili sharan centre atmospheric science selected bose fellowship award kushal sen
2,inae young engineer award please circulate following link faculty manchanda
2,faculty circular desired dean faculty letter received indian national science academy information detail pl visit following link manchanda supdt
2,foundation day lecture programme foundation day function follows venue seminar hall time date welcome address director presentation teaching excellence award foundation day lecture prof pratap bhanu mehta director centre policy research new delhi detail would announced separately followed high tea invited function anurag sharma dean academic
2,invitation card original message subject invitation card date namaskar trust find best spirit health please find herewith invitation letter sudarshan ji memorial lecture sept constitution club delhi dr kakodkar hon ble minister defence sh manohar parrikar grace event occasion also nice invitation circulated among faculty member information displayed notice board thanks rgds dr asheesh shah
2,nace gateway india nigis corrosion awareness award faculty desired dean faculty letter received nace gateway india section mumbai nigis corrosion awareness award information participation last date submitting application detail pl visit following link manchanda supdt
2,hiring super annuated professor others faculty desired dean faculty letter received indian institute technology mandi hiring super annuated professor information detail pl visit following link desired dean faculty letter received indian institute technology roorkee institute instituted research award made institute information detail pl visit following link manchanda supdt
2,request sending nomination iete award faculty desired dean faculty please visit following link subject pl send nomination ar plg latest information visit internal web faculty opportunity external manchanda
2,short term faculty secondment ait faculty member please visit following link dean faculty
2,press conference iit delhi original message subject date annual convocation indian institute technology delhi scheduled held dr raghuram rajan governor reserve bank india chief guest iit delhi organizing pre convocation press conference main guest house requested kindly attend press conference followed high tea solicit presence cover convocation proceeding open air theatre oat iit delhi sincerely sandeep chatterjee registrar phone office copy director dean request kindly join attend associate dean press conference
2,annual general meeting fitt please confirm foundation innovation technology transfer industry interface organization iit delhi ref ft date sub annual general meeting fitt please refer letter ft dated notifying twenty first annual general meeting agm ft dated enclosing therewith note agenda agm hope must received reiterate programme time date venue senate room indian institute technology delhi hauz khas new delhi agm shall conclude lunch main guest house iit delhi kindly confirm participation already done necessary arrangement made time raj mehta fitt iit delhi mobile member governing council fitt member research council consultative committee fitt member tbiu board senior member iit delhi administration head department centre iit delhi corporate member category fitt past present iit delhi incubatees etc
2,hod faculty member department original message subject hod faculty member department date undisclosed recipient forward information faculty member student two international conference publication journal issn impact factor absentia mode also permitted visit www conference aessangli detail call paper international conference information knowledge research engineering management science ic ikr em www conference aessangli international conference research design development engineering management science ic rdd em www conference aessangli ic ikr em ic rdd em association support govt engineering college bikaner karni industrial area pugal road bikaner rajasthan shri sabva institute engineering technology aradhna saikshnik sankul bhavnagar road botad gujarat kalol institute technology research centre address kalol national highway old janpath hotel kalol gujarat maharshi dayanand saraswati university school engineering system science pushkar pas road ajmer rajasthan accepted paper published one listed journal issn impact factor objective conference day lot research various field engineering management science taking place throughout world research beneficial academician industrial organization globally increasing demand research provide direction academician organization improve business performance member knowledge society easily get opportunity contribute research finding international conference seminar symposium unified area looking futuristic technological need micro nano miniaturization already visualized real need multi disciplinary research collaboration become essential scientific community ahead research betterment including social life objective conference provide special forum present discus multidisciplinary research work facilitates sharing multidisciplinary research based knowledge among academician industry people several area engineering management science conference provide special forum present discus multidisciplinary emerging technology pg dissertation work research work leading ph facilitates sharing multidisciplinary research based knowledge among academician industry people several area engineering management science important date last date submission full length paper ic ikr em ic rdd em notification acceptance within day date completing paper submission process author venue conference ic ikr em gandhinagar ic rdd em bikaner botad organizing committee patron dr jani director patel institute management computer study gandhinagar convener dr kulkarni principal kalol institute technology research center gujarat organizing secretary dr narpat singh shekhawat govt engineering college bikaner karni industrial area pugal road bikaner dr wandra principalshri sabva institute engineering technologyaradhna saikshnik sankul bhavnagar road botad gujarat dr neeraj bhargava school engineering system sciencesm university ajmer rajasthan india prof chetanbhai vora hod mechanical department kalol institute technology research center gujarat call paper conference paper various emerging technology application engineering management science based information knowledge research development invited accepted paper published one listed journal issn impact factor author informed strictly follow paper template doc format maximum page paper author informed submit paper along registration form copy right form towards registration mailing address conference paper selected conference returned registration form copy right form available atwww conference aessangli paper presented absentia unable come present paper day conference wish present paper absentia also encouraged send paper per schedule paper conference theme presented absentia eligible included conference material author need send cd containing presentation paper registration fee per author least one author must register conference ug student pg student research scholar r academician industry delegate r conference attendee r author informed submit paper along registration form copy right form towards registration mailing address conference paper selected conference returned mode payment author informed submit paper along registration form copy right form towards registration mailing address conference author requested write name paper title contact number back side demand draft registration form copy right form available www conference aessangli dd favour amoghsiddhi education society sangli payable sangli maharashtra author requested write name paper title contact number back side demand draft mailing address prof chetan vora organizing secretary ic ikr em ic rdd em greenvalley bunglows panchvati area kalol gujarat india query write ic ikr em ic rdd em accepted paper published one listed journal issn impact factor publication paper presentation certificate issued author separately registration fee include conference kit hard copy journal certificate breakfast lunch tea day conference venue conference ic ikr em gandhinagar ic rdd em bikaner botad list aes journal impact factor aes journal engineering technology science sr title journal issn impact factor general impact factor impact factor scientific journal impact factor journal information knowledge research biomedical engineering issn journal information knowledge research business management administration issn 671x journal information knowledge research civil engineering issn journal information knowledge research computer engineering issn journal information knowledge research computer science application issn journal information knowledge research electrical engineering issn journal information knowledge research electronics communication engineering issn journal information knowledge research humanity social science issn journal information knowledge research information technology issn journal information knowledge research mechanical engineering issn 668x international journal emerging technology application engineering technology science issn international journal computer application engineering technology science issn detail journal visit www ejournal aessangli click www aessangli click
2,issue new medical booklet urgent circular health original message subject issue new medical booklet urgent circular health unit date coordination section health unit iitd icdn urgent important sub issue implementation new medical booklet old medical booklet valid effect ref cdn health unit circular iitd icdn dated regarding schedule issue new medical booklet cancellation old medical booklet cdn circular referred subject following please noted regarding issue new medical booklet employee dependent validity old medical booklet employee produce old medical booklet self dependent cancellation return also collect new medical booklet strictly per schedule circulated already vide cdn circular case old medical booklet employee dependent produced cancellation new medical booklet issued particular beneficiary employee submitted new medical booklet incorporating required detail affixing recent photo etc far submit immediately cdn section necessary action employee start using new medical booklet issued cdn section iitd hospital accept new medical booklet employee dependent without signature ar cdn old medical booklet valid accepted iitd hospital thereafter opd registration etc new medical booklet accepted effect dependent employee allowed use current year medical insurance scheme policy institute till irrespective fact whether issued medical booklet employee possession medical booklet member dependent per criterion circulated earlier get cancelled concerned establishment section cdn section immediately however cancellation retain cancelled medical booklet future reference issue new medical booklet employee submitted declaration document recently concerned establishment section taken separately also completed concerned employee turn scheduled date new medical booklet issued later notified separately delay cause inconvenience concerned employee employee requested kindly cooperate needful accordingly sd bhaskar assistant registrar s coordination section health unit deputy director dean associate dean warden head department centre section unit cell faculty staff member email dr ar ird work sa account audit registrar hospital service chairman hospital advisory committee notice board master file bhaskar assistant registrar s coordination section iit delhi
2,invitation one day multidisciplinary national conference kindly check attachment date abstract submission extended full length paper submission date kindly find attachment
2,nomination appointment post vice chancellor original message subject nomination appointment post vice chancellor deenbandhu chhotu ram university science technology murthal sonipat haryana date directorate technical education haryana bay sector panchkula phone tele fax directed convey nomination invited considering candidature appointment post vice chancellor deenbandhu chhotu ram university science technology murthal sonipat haryana eminent scholar broad area engineering science technology interested person long outstanding experience field specialization reputed institution university research institution high quality publication demonstrated special achievement patent award etc national international level term condition service vice chancellor shall determined chancellor advice government vice chancellor shall hold office period three year renewed one term provided shall cease hold office attaining age sixty eight year irrespective fact term expired vice chancellor director university national laboratory iits iiits nit reputed institute send nomination suitable person alongwith complete bio data consent willingness join statement suitability nomination sent principal secretary government haryana technical education department room floor new civil secretariat haryana sector chandigarh latest profound singh tech ec ce joint director spfu univ technical education department directorate technical education haryana tekniki sikshya sadan bay sector panchkula haryana
2,scopus young scientist award others faculty office dean faculty desired dean faculty letter received ministry earth science government india asked nomination regarding national earth system science award information detail pl visit following link desired dean faculty mail received asian university woman auw regarding vacancy post dean faculty pro vice chancellor information detail pl visit following link desired dean faculty letter received national academy science india nasi asked nomination regarding scopus young scientist award information detail pl visit following link manchanda supdt
2,annual general meeting fitt please foundation innovation technology transfer industry interface organization iit delhi ref ft date sub annual general meeting fitt continuation letter ft dated notifying twenty first annual general meeting agm foundation innovation technology transfer fitt senate room indian institute technology delhi hauz khas new delhi please find enclosed herewith note agenda agm already sent courier hand requested make convenient attend agm join u lunch main guest house iit delhi anil wali managing director secretary agm member governing council fitt member research council consultative committee fitt member tbiu board senior member iit delhi administration head department centre iit delhi corporate member category fitt past present iit delhi incubatees etc
2,hpc utilization usage data colleague director constituted hpc committee see growth research sustenance model also charge mechanism high performance computing facility recently setup iit delhi report submitted committee briefly discussed last dean committee document circulated registrar office member dean committee requested send feedback comment matter taken action next dean committee best wish shiban koul
2,invitation ist day event iisf aware hectic preparation several venue progress hopefully ready great beginning tomorrow iisf start tomorrow following activity scheduled tomorrow 00am industry academy conclave lhc 30am inauguration mega expo aryabhatta ground near jnu gate student interaction eminent scients dogra hall bharatanatyam dr vasudevan group oat inauguration expo done dr harsha vardhan honourable min cordially invited attend event prof rao chairman dean infra meeting standing committee india international science festival iisf scheduled senate room member requested attend meeting prof rao chairman dean infra
